,Unnamed: 0.1,Unnamed: 0,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
127,127,127,New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,15-Apr-11,16-Aug-12
128,128,128,Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,15-Apr-11,22-Jan-13
129,129,129,Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,8-Apr-11,9-Sep-12
130,130,130,Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,8-Apr-11,22-Jan-13
131,131,131,The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,25-Mar-11,22-Jan-13
132,132,132,Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,11-Mar-11,12-Sep-12
133,133,133,First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,11-Mar-11,20-Aug-12
134,134,134,Valley Community Bank,St. Charles,IL,34187,First State Bank,25-Feb-11,12-Sep-12
135,135,135,"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,18-Feb-11,20-Aug-12
136,136,136,Charter Oak Bank,Napa,CA,57855,Bank of Marin,18-Feb-11,12-Sep-12
137,137,137,Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,18-Feb-11,2-Nov-12
138,138,138,Habersham Bank,Clarkesville,GA,151,SCBT National Association,18-Feb-11,2-Nov-12
139,139,139,Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,11-Feb-11,12-Sep-12
140,140,140,Badger State Bank,Cassville,WI,13272,Royal Bank,11-Feb-11,12-Sep-12
141,141,141,Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,11-Feb-11,22-Jan-13
142,142,142,Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",11-Feb-11,2-Nov-12
143,143,143,Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,4-Feb-11,20-Aug-12
144,144,144,North Georgia Bank,Watkinsville,GA,35242,BankSouth,4-Feb-11,2-Nov-12
145,145,145,American Trust Bank,Roswell,GA,57432,Renasant Bank,4-Feb-11,31-Oct-12
146,146,146,First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.",28-Jan-11,12-Sep-12
147,147,147,FirsTier Bank,Louisville,CO,57646,No Acquirer,28-Jan-11,12-Sep-12
148,148,148,Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,28-Jan-11,12-Sep-12
149,149,149,The First State Bank,Camargo,OK,2303,Bank 7,28-Jan-11,12-Sep-12
150,150,150,United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,21-Jan-11,12-Sep-12
151,151,151,The Bank of Asheville,Asheville,NC,34516,First Bank,21-Jan-11,2-Nov-12
152,152,152,CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",21-Jan-11,2-Nov-12
153,153,153,Enterprise Banking Company,McDonough,GA,19758,No Acquirer,21-Jan-11,2-Nov-12
154,154,154,Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,14-Jan-11,2-Nov-12
155,155,155,Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,7-Jan-11,12-Sep-12
156,156,156,First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,7-Jan-11,2-Nov-12
157,157,157,Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,17-Dec-10,20-Aug-12
158,158,158,First Southern Bank,Batesville,AR,58052,Southern Bank,17-Dec-10,20-Aug-12
159,159,159,"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,17-Dec-10,2-Nov-12
160,160,160,"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,17-Dec-10,31-Oct-12
161,161,161,Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,17-Dec-10,2-Nov-12
162,162,162,"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,17-Dec-10,2-Nov-12
163,163,163,Earthstar Bank,Southampton,PA,35561,Polonia Bank,10-Dec-10,20-Aug-12
164,164,164,Paramount Bank,Farmington Hills,MI,34673,Level One Bank,10-Dec-10,20-Aug-12
165,165,165,First Banking Center,Burlington,WI,5287,First Michigan Bank,19-Nov-10,20-Aug-12
